,Species,Country.of.Origin,Altitude,altitude_mean_meters,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Category.Two.Defects
0,Arabica,Ethiopia,1950-2200,2075,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,0,0,0
1,Arabica,Ethiopia,1950-2200,2075,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,0,0,1
2,Arabica,Guatemala,1600 - 1800 m,1700,,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0,0,0,0
3,Arabica,Ethiopia,1800-2200,2000,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,0,0,2
4,Arabica,Ethiopia,1950-2200,2075,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,0,0,2
5,Arabica,Brazil,,,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11,0,0,1
6,Arabica,Peru,,,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11,0,0,0
7,Arabica,Ethiopia,1570-1700,1635,,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03,0,0,0
8,Arabica,Ethiopia,1570-1700,1635,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03,0,0,0
9,Arabica,Ethiopia,1795-1850,1822.5,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,0,0,4
10,Arabica,Ethiopia,1855-1955,1905,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1,0,0,1
11,Arabica,United States,meters above sea level: 1.872,1872,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,0,0,0,0
12,Arabica,United States,meters above sea level: 1.943,1943,Washed / Wet,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0,0,0,0
13,Arabica,United States (Hawaii),2000 ft,609.6,,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92,0,0,0,2
14,Arabica,Ethiopia,1570-1700,1635,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83,0.05,0,0,2
15,Arabica,United States,meters above sea level: 2.080,2080,Washed / Wet,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,0,0,0,0
16,Arabica,Indonesia,1200-1800m,1500,,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42,0.03,0,0,0
17,Arabica,Ethiopia,,,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33,0.05,0,0,2
18,Arabica,China,1450,1450,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1,0,0,0
19,Arabica,Ethiopia,1700-2000m,1850,Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0,0,0,8
20,Arabica,United States,meters above sea level: 2.019,2019,Washed / Wet,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,0,0,0,0
21,Arabica,Costa Rica,1300 msnm,1300,Washed / Wet,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11,0,0,2
22,Arabica,Mexico,1320,1320,Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13,0,0,0
23,Arabica,United States,meters above sea level: 2.112,2112,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0,0,0,0
24,Arabica,Ethiopia,,,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,0.11,0,0,1
25,Arabica,Brazil,1250m,1250,Natural / Dry,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,0,0,2
26,Arabica,Ethiopia,,,,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92,0.05,0,0,2
27,Arabica,Uganda,1950,1950,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,0.12,0,0,1
28,Arabica,Honduras,1400,1400,,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67,0.1,0,0,3
29,Arabica,Taiwan,1200,1200,Pulped natural / honey,8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,0,0,0,0
30,Arabica,Nicaragua,,,,7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58,0.08,0,0,2
31,Arabica,"Tanzania, United Republic Of",,,Natural / Dry,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,0.11,0,0,1
32,Arabica,Brazil,1300,1300,Natural / Dry,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12,0,0,2
33,Arabica,Costa Rica,1300,1300,Washed / Wet,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,0,0,0,0
34,Arabica,Ethiopia,1750-1800,1775,Natural / Dry,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,0.1,0,0,3
35,Arabica,Kenya,1800,1800,Washed / Wet,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,0.12,0,0,1
36,Arabica,United States (Hawaii),,,Natural / Dry,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25,0,1,0,4
37,Arabica,United States (Hawaii),,,,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25,0,2,0,1
38,Arabica,Ethiopia,,,,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25,0.1,0,0,2
39,Arabica,United States,meters above sea level: 1.941,1941,Washed / Wet,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,0,0,0,0
40,Arabica,Thailand,1300,1300,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,0.1,1,0,9
41,Arabica,Brazil,1.2,12,,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08,0,0,2
42,Arabica,Brazil,1.2,12,,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,0,0,3
43,Arabica,Taiwan,1000 m,1000,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08,0.12,0,0,0
44,Arabica,Kenya,1754,1754,Natural / Dry,8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08,0.11,0,0,2
